Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,93,FLORA,,F,para la mayor acción
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,24,94,FLORA,,F,la menos festiva eres.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,95,NOCHE,,X,"Bella Pales, bella Flora,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,96,NOCHE,,X,hermosuras a quien debe
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,97,NOCHE,,X,la contada edad del año
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,98,NOCHE,,X,"la luz de sus doce meses,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,99,NOCHE,,X,"no así de mí desconfíes,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,100,NOCHE,,X,"no así tú de mí te quejes,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,101,NOCHE,,X,que no ha sido mi descuido
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,102,NOCHE,,X,"tan grande como os parece,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,103,NOCHE,,X,"que, aunque humilde fiesta sea"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,104,NOCHE,,X,–no humilde por quien pretende
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,105,NOCHE,,X,"hacerla, sino por quien"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,106,NOCHE,,X,"con poco ingenio la emprende–,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,107,NOCHE,,X,una tengo prevenida
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,108,NOCHE,,X,"que divierta, aunque no alegre"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,109,NOCHE,,X,"mi noche. ¡Oh, quieran los cielos"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,25,110,NOCHE,,X,que a salir con ella acierte!
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,26,111,PALES,,X,¿Prevenida hay fiesta?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,27,111,NOCHE,,X,Sí.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,28,112,FLORA,,F,¿Y qué fiesta es?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,29,112,NOCHE,,FX,La que siempre:
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,29,113,NOCHE,,X,una comedia.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,30,113,PALES,,X,¿Hala escrito
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,30,114,PALES,,X,algún ingenio excelente?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,31,115,NOCHE,,X,"No, sino pobre y humilde."
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,32,116,FLORA,,F,"Poco importará, si tiene"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,32,117,FLORA,,F,algún teatro que haga
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,32,118,FLORA,,F,evidencia lo aparente.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,33,119,NOCHE,,X,Tampoco tiene apariencias.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,34,120,PALES,,X,Pues buena fiesta previenes.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,35,121,FLORA,,F,Sin ingenio y sin adorno
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,35,122,FLORA,,F,¿no fuera mejor no hacerse?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,36,123,NOCHE,,X,No tan presto antes de vella
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,36,124,NOCHE,,X,a las dos os desconsuele.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,37,125,PALES,,X,Refiérenos de qué trata.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,38,126,FLORA,,F,Repítenos qué contiene.
