Source,Target,Weight,Type
Gongora_Al campo salió, el estío,Gongora_De la semilla, caída,60,undirected
Gongora_Al campo salió, el estío,Gongora_En lágrimas salgan mudos,23,undirected
Gongora_Al campo salió, el estío,Gongora_Guarda corderos, zagala,6,undirected
Gongora_Al campo salió, el estío,Gongora_Ojos eran, fugitivos,29,undirected
Gongora_Al pie de un álamo negro,Gongora_Amarrado al duro banco,10,undirected
Gongora_Al pie de un álamo negro,Gongora_Aquel rayo de la guerra,1,undirected
Gongora_Al pie de un álamo negro,Gongora_Aunque entiendo poco griego,10,undirected
Gongora_Al pie de un álamo negro,Gongora_Ave del plumaje negro,11,undirected
Gongora_Al pie de un álamo negro,Gongora_Cuando la rosada Aurora,205,undirected
Gongora_Al pie de un álamo negro,Gongora_De la semilla, caída,151,undirected
Gongora_Al pie de un álamo negro,Gongora_Desde Sansueña a París,47,undirected
Gongora_Al pie de un álamo negro,Gongora_Despuntado he mil agujas,13,undirected
Gongora_Al pie de un álamo negro,Gongora_Ensíllenme el asno rucio,3,undirected
Gongora_Al pie de un álamo negro,Gongora_Frescos airecillos,16,undirected
Gongora_Al pie de un álamo negro,Gongora_Hanme dicho, hermanas,86,undirected
Gongora_Al pie de un álamo negro,Gongora_Ilustre ciudad famosa,12,undirected
Gongora_Al pie de un álamo negro,Gongora_Manzanares, Manzanares,280,undirected
Gongora_Al pie de un álamo negro,Gongora_Moriste, ninfa bella,1,undirected
Gongora_Al pie de un álamo negro,Gongora_No vengo a pedir silencio,86,undirected
Gongora_Al pie de un álamo negro,Gongora_Temo tanto los serenos,30,undirected
Gongora_Al pie de un álamo negro,Gongora_Tenemos un doctorando,158,undirected
Gongora_Al pie de un álamo negro,Gongora_Trepan los gitanos,3,undirected
Gongora_Al pie de un álamo negro,Gongora_Triste pisa, y afligido,4,undirected
Gongora_Al tronco de un verde mirto,Gongora_¡Oh cuán bien que acusa Alcino...!,3,undirected
Gongora_Al tronco de un verde mirto,Gongora_¿Callaré la pena mía...?,5,undirected
Gongora_Al tronco de un verde mirto,Gongora_Ahora que estoy de espacio,11,undirected
Gongora_Al tronco de un verde mirto,Gongora_Con su querida Amarilis,26,undirected
Gongora_Al tronco de un verde mirto,Gongora_Contando estaban sus rayos,9,undirected
Gongora_Al tronco de un verde mirto,Gongora_Crïábase el Albanés,163,undirected
Gongora_Al tronco de un verde mirto,Gongora_Cuatro o seis desnudos hombros,91,undirected
Gongora_Al tronco de un verde mirto,Gongora_Diez años vivió Belerma,14,undirected
Gongora_Al tronco de un verde mirto,Gongora_En dos lucientes estrellas,7,undirected
Gongora_Al tronco de un verde mirto,Gongora_En el caudaloso río,1,undirected
Gongora_Al tronco de un verde mirto,Gongora_En la fuerza de Almería,11,undirected
Gongora_Al tronco de un verde mirto,Gongora_En lágrimas salgan mudos,4,undirected
Gongora_Al tronco de un verde mirto,Gongora_En tanto que mis vacas,50,undirected
Gongora_Al tronco de un verde mirto,Gongora_La más bella niña,4,undirected
Gongora_Al tronco de un verde mirto,Gongora_Nace el niño y, velo a velo,101,undirected
Gongora_Al tronco de un verde mirto,Gongora_Noble desengaño,85,undirected
Gongora_Al tronco de un verde mirto,Gongora_Ojos eran, fugitivos,17,undirected
Gongora_Al tronco de un verde mirto,Gongora_Saliéndome estotro día,2,undirected
Gongora_Al tronco de un verde mirto,Gongora_Servía en Orán al rey,74,undirected
Gongora_Amarrado al duro banco,Gongora_¿No me bastaba el peligro...?,2,undirected
Gongora_Amarrado al duro banco,Gongora_Al pie de un álamo negro,10,undirected
Gongora_Amarrado al duro banco,Gongora_Aquí entre la verde juncia,14,undirected
Gongora_Amarrado al duro banco,Gongora_Castillo de San Cervantes,128,undirected
Gongora_Amarrado al duro banco,Gongora_Ciego que apuntas y atinas,4,undirected
Gongora_Amarrado al duro banco,Gongora_Diez años vivió Belerma,10,undirected
Gongora_Amarrado al duro banco,Gongora_En dos lucientes estrellas,50,undirected
Gongora_Amarrado al duro banco,Gongora_Érase una vieja,14,undirected
Gongora_Amarrado al duro banco,Gongora_Frescos airecillos,8,undirected
Gongora_Amarrado al duro banco,Gongora_La desgracia del forzado,435,undirected
Gongora_Amarrado al duro banco,Gongora_La más bella niña,80,undirected
Gongora_Amarrado al duro banco,Gongora_Levantando blanca espuma,4,undirected
Gongora_Amarrado al duro banco,Gongora_Manzanares, Manzanares,123,undirected
Gongora_Amarrado al duro banco,Gongora_Noble desengaño,48,undirected
Gongora_Amarrado al duro banco,Gongora_Sin Leda y sin esperanza,14,undirected
Gongora_Amarrado al duro banco,Gongora_Triste pisa, y afligido,29,undirected
Gongora_Apeóse el caballero,Gongora_¿No me bastaba el peligro...?,9,undirected
Gongora_Apeóse el caballero,Gongora_A la fuente va, del Olmo,27,undirected
Gongora_Apeóse el caballero,Gongora_Al campo salió, el estío,28,undirected
Gongora_Apeóse el caballero,Gongora_Aquí entre la verde juncia,1,undirected
Gongora_Apeóse el caballero,Gongora_Ave del plumaje negro,37,undirected
Gongora_Apeóse el caballero,Gongora_Ciego que apuntas y atinas,11,undirected
Gongora_Apeóse el caballero,Gongora_Cloris, el más bello grano,202,undirected
Gongora_Apeóse el caballero,Gongora_Con su querida Amarilis,166,undirected
Gongora_Apeóse el caballero,Gongora_En la fuerza de Almería,35,undirected
Gongora_Apeóse el caballero,Gongora_Entre los sueltos caballos,25,undirected
